tx_hash,seller,original_amount
0x49f34171295a5d89531a65fd156a6ae6aa755b637e5b0d8aa74e749d2f629d73,0xd7204c30646e535496a4e612552593b6d80aef29,0.01
0x376eb26fa259eff9bfc0f5f41b00912bbe6fdd3b5329f8e8efb20bbd1d8e35c8,0x8a94b998edc1214b317e293ac63330510e3f3158,0.0068
0x0d583b083edd6b0557c9516278fa2a9c519ecfd3d90f8a85ece4a89704b0bd67,0x2cf84928261f655a47d04ec714d3bedf9375de46,1.249
0xdcfc1f46c6f9e48b8153c346d4424d736f34f3077a4b853095a04c7649f1c394,0xda51adb6680405937b1ea8d790b13cdb302169f2,0.3075
0x3cadee092e48685172f615c8f83e482aa8adb52298dfd309f21f40a3ee437e05,0x3d5d1dea374c3b741b1321742cba7a2eb7467b66,0.95
0xb2f68de6d804d5c8a43618658126163b69c43bab27dc7cfd1b46cef4b8c599c6,0xe319be182ce4632a37269f1c6981c1bef0b63a68,0.082
0x122166cb6e06c9eab70ec028f33439a4d4d921d675644611a652b9ebd0b709df,0xfc094a280acc19d1107f76cf428660239dc9257a,0.4
0x5024ef5dbe64da7a2d630170470ca7995c657c39477c8db4822612a9f8b634ef,0x0dbfccfb2e52e30419f1825e20e7bb98187c896a,0.22
0x6a1b5d2a2322443a0a74b49c3088ee33ab82bed55410f07960cba6be5f129e33,0x64c00aae02e16c7f4ef09e3bac2a5e66c0cc74c5,0.099
0x229361a5a87b3f925d5252b50b7530740fb1b6faf5aa153f8500aba7e6ca5477,0x95e7e1827a39d04b5fa07c536a007b34aaec27d5,0.006
0x30e340fe20c1e4246cccb540002899410efd7170e90938fefa9d68954297606a,0x8172e2acd8ccb5a08448842dfebcc2cb1aa5cf6a,0.65
0x21b0ae3acbafe73e0ff23eff30e2bdcd43840cf89cd52e80754b66e37a5e3c25,0x11adf12df556e7a988c6684dbe01aebfd723c02e,1.49
0xcf361898f4571ba4e34c4cdb235fa956566ea43723a7ff3f254b719807d7f498,0x89ce794d2b4079d202c9de6a62c71c11193be9b5,0.016
0xd1e47f6d013217b485d6ff207dcabb5992e97d55cfffa5bd16603dbe1c6ea374,0x1bbb47ff5dc7fb00e65533a4168ce88a997b1760,1.31
0xdeee4cf23447753fe834d76ff26df15771cb6b2c923c42620f94e9ac674fc6e8,0xaa95d6820e0e31bc3cdcbfc875947a8829b919b0,1.3
0xde21231d6d930dcca926f098d9e7c906ce67d08093f4557f73d1382e3a2d84d9,0x842069ca21014580bdb2f29f73bd91c653ce3a7e,1.42
0x857d88589697acb07252ab6db07212c55fd6d8e2b3eb48fd619ca87018034ee1,0xb7123316e0508f0551f47e3d779df7517b39f0c1,0.024
