block_time,tx_hash,original_amount
2022-06-15T13:45:09+00:00,0x0042fb34bc967daafb66b052d7c9eb7fc49cc2f1fed7d74b2232449bcaa88e03,0.038
2022-06-15T07:39:07+00:00,0x0047d175d3b10a25ff4e00f0b298919d10a91e74ce56f37b51ca8cc8c9ddf052,0.12
2022-06-15T00:02:02+00:00,0x004bcc5d97720765dcf82f0a8c4a26377ece55415b4fbe8ce7ae1d38499e3682,0.148
2022-06-15T16:34:02+00:00,0x0057cc532dbfb95ba78b6f5cc50a84b5631166303387313a0fb68e15767a60b4,0.32
2022-06-15T12:50:46+00:00,0x0057d9ae450e5a00cc075d01893ba2a06e38f0fd67c27417c48f547d097fe5a7,0.288
2022-06-15T12:46:16+00:00,0x005b26e73ec1ab6f881e4eb664b23cfa4fb50937b92c3d91e4700b009efb6b0d,0.011
2022-06-15T22:21:32+00:00,0x005c647a11519bf4115f661d606901151b21dce73196d413295e886d808cf380,0.569
2022-06-15T00:34:57+00:00,0x00951af884601745b8ae54c0cf2171cd91fe307da8c9b3147395a8f0ca11a47a,0.011
2022-06-15T13:56:44+00:00,0x00603e51295528f06a4b7b8c229ca22da09c284c9261986ed63dbceae8d88b5e,0.045
2022-06-15T10:19:55+00:00,0x0060835dcacb82719a277ddf86cb42f2acb8ecf2a16c5c1ceb9074fb3c692a71,0.1
2022-06-15T17:32:18+00:00,0x0062d924e44e6d73fa59e00c621c03c3ade2a246f69d50c5f0a2b3decbe8a637,0.13
2022-06-15T05:35:27+00:00,0x00631d8aeddb717fb79671643000120a438a977e292f7e99c4565658198897c0,0.12
2022-06-15T04:23:32+00:00,0x006770c999eb9c2324774c448cf2269d5a76fcc46c98c352d8c462d57af6cc4e,0.9
2022-06-15T20:44:33+00:00,0x006a733460597cf6a599ebe48296afe2de40bf50285b6cb4ade14674e3ebde0e,0.017
2022-06-14T21:41:43+00:00,0x006c2d2b893c0e67e8d8b88be1bbb4c344e74f87ff71fc2c000ee6ec7243309c,0.022
2022-06-15T02:42:33+00:00,0x006ce8e17673c7c1d74b47f707ac625df36ba05427ed3ae7f3a136df3da61c57,0.314
2022-06-15T11:28:05+00:00,0x006d4b4105d734a1dcb9d5c5aa86d6e73bffaef5934081ef988d63081c53387e,0.188
2022-06-15T06:07:27+00:00,0x007689c57c7505299dbea678b821dfd2f4431a8cdb6ff1f1658908cee7fe44bb,0.749
2022-06-15T15:04:43+00:00,0x0077d031ca805251f4579c635aafc716152da8006b2668603975120f9bf269b9,0.289
2022-06-15T20:46:15+00:00,0x007c6c3f2db52fe98d0f0963b532e15faec7c68a24424fdc2e1ccb105e7866f7,0.195
2022-06-15T12:08:47+00:00,0x00853273dfa61483d797b6b04be33901bbaf55b603a6903b671f0c35222dd353,0.91
2022-06-15T13:06:38+00:00,0x0086f056c0986b0aab40f933221e946166483a08eb6c87e238468a431884e771,0.64
2022-06-15T06:34:09+00:00,0x008cb95b3f2ba3e2f01ea8491cb79199e27832f196d3cd56a492df57a3ad4cfb,0.011
2022-06-15T00:42:17+00:00,0x008ed291ddbb3b0586f18082e009ed7718fabaa5e853a70d46074b8db5acb9e8,0.235
2022-06-14T20:08:46+00:00,0x0093a1eebe5359597311967cffb825261d037bc4f132fc5f938318c66afba473,0.01
2022-06-15T13:05:52+00:00,0x00990573ffa1cc5b4ebd9ff4ffe4ff75d17def5e071fd5c81fb1d87b0db4d2ff,10
2022-06-15T14:24:07+00:00,0x00997438325638d5bd9eb5aae46739673dd54ef377283a2f3542f0de1df799f6,0.12
2022-06-15T20:59:27+00:00,0x0099d01c0dc9b499da5ae6075e8193b6bbefcd0464fdd8aea17a10103198a148,0.75
2022-06-15T00:15:34+00:00,0x009ae266600d95e637b306d74c3a8aeb4d9ea6a1072c43c415fd2665949ccf1b,0.138
2022-06-15T23:37:17+00:00,0x009b27c717d584c3030fd559fada3547ff493a6c8d998fa7b708e7667692b59a,0.13
2022-06-14T21:11:03+00:00,0x009d190f1ab5cae2186517c7b48e08bb4ed3a162345e26fe308955a5fad5e39e,0.0139
2022-06-15T01:20:44+00:00,0x009fb4b66d9ed35d0da45f97c92de1670815c7af3122b10c1f1f6bbfc79c9340,0.006
