blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
ethereum,uniswap,3,2022-09-28,0xdcaf9394fddb84afbf971045661d7e96ed2d01a743ea913abceb20cf4c13452e,2,0xdac17f958d2ee523a2206206994597c13d831ec7,18410.19214,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13.7977443609023
ethereum,uniswap,3,2022-09-28,0x4bda429e77bdd899139e00628c8fee2e119db6098745cba00e11efeeb1a99bd2,84,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10747.932591,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8.06043203550863
ethereum,uniswap,3,2022-09-28,0x7a98cdef70a5518538457c807d90e69340d709d2a2a87699a869db8be7a66d8f,112,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,46942.648238,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,35.2
optimism,uniswap,3,2022-09-30,0xf55b5c5ec3bf016046a173f484fe972e32fdcba467d7f9e736aa24c72ba77f77,7,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,100.981029315346,0x7f5c764cbc14f9669b88837ca1490cca17c31607,101
optimism,uniswap,3,2022-09-30,0x1eb5e4679743665b626af08e0e1cb571982d851e4d9a26ca84763ab4e97b2413,10,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,5.38359932389085,0x7f5c764cbc14f9669b88837ca1490cca17c31607,5.384615
optimism,uniswap,3,2022-09-30,0x14d51305de3c0224f1474e895d8a75c3f6f31c050a8384fb56352b9ce23dfde5,2,0x7f5c764cbc14f9669b88837ca1490cca17c31607,60.46196,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,60.456251
ethereum,airswap,swap_v3,2022-08-19,0x00399b5f2fc5535efd528b03f76a871766e5f2d2869799281b3064cd02de14fe,308,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.4863593,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,825.220907
ethereum,airswap,swap_v3,2022-08-25,0x0000e369cb6a2d5908c26d736d0012a3136603f2020acfe8bfd86af4790c8590,213,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,600,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.357272738807249
ethereum,airswap,swap,2022-09-29,0x30219b51b252348303f297778374024b4afcd6023d522b4442d2304b8f0c154d,3,0xe34c023c0ea9899a8f8e9381437a604908e8b719,103441.57,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,102122.5869
ethereum,airswap,swap,2022-09-27,0x1daef042310db224f72cb4c922e1a4ccfa2cbbba8f2757dec38651e95933c6f7,32,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,30500,0x72b886d09c117654ab7da13a14d603001de0b777,253905.87392903
ethereum,airswap,light,2022-05-25,0x02881571864ff927f2c1e3a65e88ac2cdb63bcc8b075b3b5cac1fabdbff8719a,287,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.98514,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3901.628058
ethereum,airswap,light,2022-05-31,0x041c1b58767f3428419d4c3e767e4dda0490d5aa2459902955f9bca530739bc8,175,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.02477942922041
ethereum,Curve,Regular,2022-09-03,0x0fc5910c411bdbbf1827fa278c22b3351892e8931e7c3db02e817bc052a489fc,11,0xdac17f958d2ee523a2206206994597c13d831ec7,45324225240,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2.929896609E+019
ethereum,Curve,Regular,2022-09-04,0x4ca41e0f0700f357111aaae66a85b0def53b00a6ca02145e6e6ec00775621df5,537,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,7.93070096583753E+022,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,7.78328E+022
ethereum,Curve,Factory V1 Meta,2022-09-23,0x182e11e393388ea9365b1e566bfc66754bbdfb7f83344f6e1e4f05cde97ea66b,11,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,4.29398385988372E+020,0xa693b19d2931d498c5b318df961919bb4aee87a5,10259457322
ethereum,Curve,Factory V1 Plain,2022-09-19,0xe31b85292938984c61b4a9d8d2eb781f20bfa22c068a380a67fce94ef8ec450c,60,0xd533a949740bb3306d119cc777fa900ba034cd52,7.42474512665705E+020,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,7.74567425737246E+020
ethereum,Curve,Factory V2,2022-09-03,0x02fe546401dd52e07528532ed1ac4ed1d4f525118836f71a4014282fb6a06839,4,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,5.13561732187354E+022,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,33333000000
ethereum,clipper,1,2021-07-14,0x8d246ba8ec0775e6b7cff03010b858e22a9295d24b7fd08a8f705bbd3d333dab,301,0xdac17f958d2ee523a2206206994597c13d831ec7,165.266255,0x0000000000000000000000000000000000000000,0.082849
ethereum,clipper,2,2022-08-05,0xdae0599fd4db92ae4ba8c69bb8f0955c8d6e33bef1b5dd91f7b42aff95d1bffb,90,0xdac17f958d2ee523a2206206994597c13d831ec7,15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00905195942930063
ethereum,clipper,3,2022-10-05,0x2a85b64c9b39ad26cd62b72c984fb31c6c53e2eab317d79a34787a10d9883942,222,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,150,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.110806219109147
ethereum,sushiswap,1,2021-09-15,0x7074892627f2bccfbf394ec8760cade1d3d672289b46fbc7c5e590db31c16c95,3,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,3017.55093634511,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11.7781782389008
ethereum,sushiswap,1,2021-11-22,0x3d68c5df7a7a82ad679592d00eced1461447b487d1c54d89f0fa46ddc21bac84,7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9.46565784374643,0xd291e7a03283640fdc51b121ac401383a46cc623,1121.3436686981
ethereum,sushiswap,1,2021-11-27,0x0de46956f3fbdf6c9613f087f063daf62b7be67aeb8f092704d98feb1d2a0911,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.309451321421892,0xf422b6f41a14fb74b21cb95a8d82971a3b527117,16109.3510951687
ethereum,sushiswap,1,2021-08-01,0x901305aef9025df025b948065b89dd2f6350c09d9cd4eb957b3b69d4a487b1eb,8,0x25f8087ead173b73d6e8b84329989a8eea16cf73,3588.33361827192,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3.18922607574853
ethereum,swapr,1,2022-09-03,0xc58ae666672615f121747458b336004b5bac48823a6135163d3b23afeab4d632,333,0x6b175474e89094c44da98b954eedeac495271d0f,68.407407578415861544,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0441670997926941
ethereum,swapr,1,2022-05-04,0x53f3c3e596923e6c74988dffb69b52fe90d5bc191237dd87bd926de934b2f310,181,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.278764086245774,0x6b175474e89094c44da98b954eedeac495271d0f,781.537753648362
ethereum,defiswap,1,2020-09-10,0xe1fa03eaadc2050042d0a70799776d4788a22732ba4914c80644629cd6312e65,196,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.03502,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0001
ethereum,defiswap,1,2022-02-03,0x6f280443c97a4f5f75d041ae8c378af7bd88aeb9df893019aac2e8f13f7c04ed,48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,852.379306321183,0xc00e94cb662c3520282e6f5717214004a7f26888,3674.21052715029
ethereum,dfx,0.5,2022-10-14,0x8e51157eb06f0dcd4a546db83a8c4419ea6438e8d5f049c9a7ac71c6a03ca179,604,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,101.003244,0x2c537e5624e4af88a7ae4060c022609376c8d0eb,1891.282964
ethereum,dfx,0.5,2022-10-13,0xa655e13b90fdfb4e590422308ebd51c45e4c213c466c2c765e307207936b6375,19,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,39601.170618,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,38720
arbitrum,zigzag,1,2022-10-16,0x65149408bc88fdf9b690269f7e57dcaf8d5577af412ccd3b6d8cb13a9e5c11f8,1,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,266374900,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,266363162
arbitrum,zigzag,1,2022-10-26,0xc36027e8ccac981439cae6471824c08fad2831a94d18245052f60ec68e95fd1e,1,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,214452952992,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,1060036291
arbitrum,zigzag,1,2022-10-01,0x0a18966c178428cdedcec56823ceea18cd25b30f3da0051185af6633ace725b7,1,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,114719722544,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,86485492800931211274
bnb,pancake,2,2022-10-02,0x621c3436f07ab0c7228b50618195a1d9c19c62268d51f556fe3e9595c21cb2c6,140,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,4.128690371495819498,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0.9182291278576036
bnb,pancake,2,2022-10-06,0x60655c0da9953df69117f9b0d3ff1872a50c97657ace896b365b5781f96d97cf,46,0x60655c0da9953df69117f9b0d3ff1872a50c97657ace896b365b5781f96d97cf,29.176228605313702756,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,266659.423741634885391646
ethereum,DODO,0,2022-12-08,0x28aaf783e33d34cea5811fbc4ca07c69ccb63ab599126f00791fbf5a259f93f5,128,0xdac17f958d2ee523a2206206994597c13d831ec7,22537.265333,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,22537.421724
ethereum,DODO,0,2022-12-04,0x413604cd5d4cdb5245940e62bbb41266831de9c3f87451ec02949bac995de204,174,0xdac17f958d2ee523a2206206994597c13d831ec7,20085.370435,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,20087.363723
ethereum,DODO,1,2020-09-01,0x784afe0cd29926a86e15390c6d894eccfd3fcfd3d170cbb69a1a9aeb9f98e5af,72,0xc00e94cb662c3520282e6f5717214004a7f26888,24.88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6557.285496
ethereum,DODO,1,2021-01-30,0x616b4f09c34a3e598b00373a961e1daa4c2decc7a5315192f2927a68e767a4d6,100,0xc00e94cb662c3520282e6f5717214004a7f26888,22.84,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,7017.918
ethereum,DODO,2_dvm,2022-11-01,0xd22f88ac18cec7940d5d238140e8cd70e1fb77f01524e92cdba9002831405e53,48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,823.892847,0x4bdcb66b968060d9390c1d12bd29734496205581,15050.127244362413
ethereum,DODO,2_dsp,2022-11-01,0x217a50ce8c056b6f240ca0fee82a7aea76fde5845238717d4d2fe36a1d885fe3,18,0x6b175474e89094c44da98b954eedeac495271d0f,16786.79842759679,0xdac17f958d2ee523a2206206994597c13d831ec7,16789.191028
bnb,DODO,0,2022-10-27,0x14b34175b6f62736909e0ce38149522f17e1549a9b1502c439921f69ce51236b,129,0x26734add0650719ea29087fe5cc0aab81b4f237d,21053,0x55d398326f99059ff775485246999027b3197955,473.56624201412774
bnb,DODO,0,2022-10-27,0x89d627300b894d58f00467077f9d040465cf2b3081dbe6336f693e9bf1e358e8,195,0x55d398326f99059ff775485246999027b3197955,498,0x30f1183dec479387c09eab6dab3db88cffad5366,1630.1086595819775
bnb,DODO,1,2022-01-02,0x520b133f33a11da463ef652c2204e89056384f3755aa17ed3bd8692a708e2daf,9,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,15000,0xe9e7cea3dedca5984780bafc599bd69add087d56,14999.373075377125
