blockchain,block_date,block_number,tx_hash,tx_from,tx_to,gas_price,gas_used,currency_symbol,tx_fee,tx_fee_usd,tx_fee_currency,block_proposer,max_fee_per_gas,priority_fee_per_gas,max_priority_fee_per_gas,base_fee_per_gas,gas_limit,gas_limit_usage
sonic,2025-03-09,12618074,0x1da72ef3be3c7b663bb3eb25c69575df53db38ac782579a193fb0178c97f86c9,0xe55ad873005aa23d4c68c12f28b3993fec067fc6,0xcbfe13919530cb054b9cabbf9cda1dd1d811e3e6,50000000001,36745,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,60000000001,1,1,50000000000,36745,1
sonic,2025-03-09,12618075,0x3380e6dbb5a57dce312dddf73e48b3acff3ece46d6b3dd64d04e9e01063a30e8,0x203f9a753d57d3df76af8c02a5736f118b385692,0x67803fe6d76409640efdc9b7abcd2c6c2e7cba48,55000000000,367218,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,50000000000,383056,0.9586535650139927
sonic,2025-03-09,12618076,0x15c0599aa797a184ae54973a27050401d6c2fa85ea65f6f414d78dcb7d75c078,0x6edc3f9b603273c680b797b2316fd10dd312ccce,0x4604782bcd6f749b271fc9d14bfd583be6e5a6cf,55000000000,213619,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,50000000000,1174590,0.18186686418239556
sophon,2025-03-09,6393307,0x2bd155ace541534f10843a0e7e107f9b597a66865731a2ae65312159cc344b5c,0x835fa8370b6544bae59b61f9aefcf061ff06cfeb,0x7e6b780ecb1f7b7570edaf00ea022ee989cba0d7,2051469949600,250200,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,2172745861904,100000000,100000000,2051469949600,423803,0.5903686382588137
sophon,2025-03-09,6393306,0x3db2f95c6d892608c2e6762f56118a5c0e29077a7419c97c26f8ee9661f6f4ec,0x835fa8370b6544bae59b61f9aefcf061ff06cfeb,0x7e6b780ecb1f7b7570edaf00ea022ee989cba0d7,2051469949600,250199,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,2172745861904,100000000,100000000,2051469949600,423799,0.5903718508066323
sophon,2025-03-09,6393305,0x5c55c2af10ef168b37b3c284c683bcafe562a53d66732ba642e38e5894b857da,0x835fa8370b6544bae59b61f9aefcf061ff06cfeb,0x7e6b780ecb1f7b7570edaf00ea022ee989cba0d7,2051469949600,267962,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,2172745861904,100000000,100000000,2051469949600,449325,0.5963656596005119
viction,2025-03-09,91322566,0x82911bcd9c763c2888c86441a0923fe711916d882123084fa69cf7a777be5291,0x73b034410946c265220f9d075d987a9caa2c76a0,0x0000000000000000000000000000000000000092,0,0,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,40000000,0
viction,2025-03-09,91322565,0xc464977564807d0bbf595cb333863bc05aa6b6dac83bb1c20f20f0defd250463,0x704034f1f2dc7d487d009f3355de42f805a9d27d,0x0000000000000000000000000000000000000092,0,0,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,40000000,0
viction,2025-03-09,91322565,0xa1697f41ad884b6e3f027cb3b648c8f0ca481403719635e52ee1878631829ace,0x546e6d3fa2a53164b8d9a81cc95808153f294e30,0xaf33f679be47733bd3abb5b0b977b6ba3ed8d01e,250000000,38644,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,38644,1
worldchain,2025-03-09,11089356,0xf3baf3c8e5465e5cb0153466806b8426fb7346ea3f6b1ad7991b4c90a68fe9b2,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,43827,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,257,1000000,0.043827
worldchain,2025-03-09,11089356,0x45842430141f74c77eb9d8e68bd40fbcd78283e9055457999a1650a0fb976baf,0x256b3cc1e516d124b3027ecd083aa5a940d1328e,0x0000000071727de22e5e9d8baf0edac6f37da032,100257,324627,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,100326,100000,100000,257,780027,0.416174055513463
worldchain,2025-03-09,11089356,0x81c0a6e7646a74ea5929a69f1cae4211fe6253376098a5338e047ecc7648ef86,0xe6a4bde55b223bb454ec52dfb0c3d073eff8fe07,0xca11bde05977b3631167028862be2a173976ca11,100257,138445,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,100514,100000,100000,257,280576,0.49343136975364965
zkevm,2025-03-09,20541034,0xa4bc254c6847aa5f4e871de6b6af3ae63ab0bb1e545f0e1f760938ebaf65f01d,0xefabbdefad6c123ffb11f1e3251d516e2764495d,0x063bac84221b5b02b92ceb740ac129db0edfedc7,15781250,933602,,,,0x0000000000000000000000000000000000000000,0x148ee7daf16574cd020afa34cc658f8f3fbd2800,,,,,1642516,0.5683975072388945
zkevm,2025-03-09,20541033,0x29e3bd0fab02c31c34ec45e2390942f471901a6263016faaff76a27accb79586,0xb737f2c250a1ed781bcd019fc1ba1159de474e2d,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,10000000,193364,,,,0x0000000000000000000000000000000000000000,0x148ee7daf16574cd020afa34cc658f8f3fbd2800,,,,,588980,0.3283031681890726
zkevm,2025-03-09,20541032,0x19791f8a2ba313b8497f90675aa443ad35806419bd09b35ff4184042bbfbb5b8,0x17fc3813d8761eab20e8d16ba7d38b92547dec91,0x8ff6508bdd71b535df073920c423e9eaee0b97af,10000000,298449,,,,0x0000000000000000000000000000000000000000,0x148ee7daf16574cd020afa34cc658f8f3fbd2800,,,,,692312,0.4310903176602457
zksync,2025-03-09,57341037,0xe85d68dd98982562de719680d58e8ee794edfed2fc0433f5b6cab33e3fc37c80,0x03ac0b1b952c643d66a4dc1fbc75118109cc074c,0xae45cbe2d1e90358cbd216bc16f2c9267a4ea80a,45250000,88863,ETH,0.00000402105075,0.0087664133715975,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,90500000,0,0,45250000,1000000,0.088863
zksync,2025-03-09,57341036,0x59e6213ac7029a178bf9a16b0466b97f8b482c48908cc613c0f36a54324c8548,0x5e73db576902084f7b7bc0c099ef6eedefa20bf6,0x75af292c1c9a37b3ea2e6041168b4e48875b9ed5,47000000,97457,ETH,0.000004580479,0.00998603968227,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,47000000,1750000,47000000,45250000,233066,0.4181519397938781
zksync,2025-03-09,57341036,0x516b8bd2e300c300d01e8364cd47ef2e32459798c1a498364198f467d2faf4fc,0xa925b077392eeb7b9f70d7301489199284b0cadb,0xb7b93bcf82519bb757fd18b23a389245dbd8ca64,45250000,96220,ETH,0.000004353955,0.009492187914150001,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,61087500,0,0,45250000,202178,0.4759172610274115
zora,2025-03-09,27410257,0xc696387584c11c54f504d1fcd7f9b31eaf12dbdb742968fb20013970036f25ae,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0x2071420f9b284650207307781a9321d3e96bb7a9,1038916,21512,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,1038941,1038664,1038664,252,25200,0.8536507936507937
zora,2025-03-09,27410257,0x44954f6d6c81b48a17a86e6ad26625cc9576d6f55c619b1197dd1370267221d5,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,43851,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,252,1000000,0.043851
zora,2025-03-09,27410256,0x9b41cd80f7822f8784bc705120568c6a38cbab0ad405cb81356260dccd14d10e,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,43851,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,252,1000000,0.043851
