blockchain,type,tx_hash,tx_fee_raw
nova,DynamicFee,0xbf59cc53145d46f38c59c11873d1021f346373e1e95653de51b8300f379661d0,1618680000000
sophon,DynamicFee,0xe42b871f4062378c51afd5cdab22df7c9b9aa2056d5b5e721a6d15d70b186154,220802368840448164
sophon,DynamicFee,0xd4940e6e6f5ea56b3b5cd8dd8be220c1d60b20e2cc1dd9a9a712506623e8a98f,326495325326836002
abstract,DynamicFee,0x25a32e009b4fb985f678e4fb968cf5a0272134c28980a80aa42d78625210ad94,4886004500000
abstract,Legacy,0xf0760d935397ac013431d4bbea505f2a949784f32e8b9fd53c2a773b211418bc,6371562000000
abstract,EIP-712,0xe261e444ff3dd306e600ea8a5fa8e32506e8ca2c6035d3c5218a53821a751899,10957468500000
apechain,Legacy,0xc32a3fe0f14ddeba2f5f0be8f015e43df694a96d97952a118b30795635c08685,5610803855420000
apechain,DynamicFee,0x84ccc291861fb4ab12685227cea46340b0cdc9033ef8526c67e340c1749c6cc8,12756458131660000
apechain,106,0x9bad6dfa9d6b4cf26374288b17de5f39aecc4dedb4f91dfad4b90f77e5cfa71c,0
boba,DynamicFee,0x763ae1abbb17e88edeb482590e221164b960f26a995a8a940589604258c82b90,978655311434
boba,DynamicFee,0x254e5af60c7b3de9a23d8e4b356b6e028dc7c0f897b2d781d53c1bf7733161a7,973551060009
boba,DynamicFee,0x41ba4d7ee2b963ee65cb43a15ab5c39c8b4af603070c4ef62d3125e4b6412eec,944437653930
ink,126,0xb1bcc5dfbc29c186df25d092c2d308696944b868005e13bd231408d9273a3a21,0
ink,DynamicFee,0xa7c24f4d10af840568b9b76e488bee352c5505d41622ddebf3ae88c22071eadf,33691348328
ink,DynamicFee,0x4d7dc529939cea35e3dd6eb033e8661b927a2061c2e443351169ac9eee84749e,282292197583
worldchain,DynamicFee,0x50f3cf89bee5d66cb9333b7427f8b2329c7decee087e3974c5f4b00e6504e074,565197497028
worldchain,DynamicFee,0x9079f8effbfb6cce6e4396a9c051b298056c63228c26169229eb7fe65c443030,382955926532
worldchain,DynamicFee,0x20bb95f79206a872c06a4b0edb4517600fe432ac09d70ed41943c94680d8b37a,2358048464966
