tx_hash,seller,nft_token_id
0xfc2945a9339d1ee335535498e66020315d08d60b1b9c931e302e3a337817ea7f,0xfee265f6f8a66445234b2113fc0760e088d1daaf,8396
0x8a45d84e4f2a45fe9e4f40b6936717f9242c83c39be27ada60ea28bc3bf2b2b2,0x20900b37b4c1fdf20860a78b2d1bb5c2808e0a38,6023
0x578fcd1e8b668466fde398b78c63650c6f46b62d880bd9919696cb2736fc4931,0xa42b362bd6f84f4690a180f5d6c7acd79e68864a,1532
0x4f0c895b0a9fa894cca1b09e1a404014fe697e7da8e2af6f150dbd8fb240d518,0x7673c80da3c37c6982da47b31553985da8665db2,5140
0x0ebbba6270655c29cb4e1ff74c7f6d8fcafda4f444ce61913085d250074a9c58,0xaa5d1125dcd349455dc5f04911bcb315af10c847,1827
0x3bba004e3ca797b3880252003772069981ae81ea3ec2db08ff26b0ebd63b1bea,0x7d992c2e88d8d35bff5d6712eeee2c9445329238,6985
0x5079862be5021de81073143735e0e892d7cd0c09cef1bb40967af45220e7517e,0x82ba88f263e001780caf874f1772cc2a76de8497,2887
0x5d459028667fb21f620d1abf77e6672d4f49b0289225059aaec281c2f7324fdf,0x1b204ea4107ad7e78c859d3e187c57c3bae2f0f9,10545
0x745c5fac0abd4969c09140dbd89a868bfc0951eb0eea1053b676f2c6ecb69a80,0x92c3523a7a7a7d9d266ac2e5badcee1fbc1c9e86,941
0xad59b1cfe0ed63af9a2bd74261434051e38ebee1ada11413cc62efa519ecaf64,0xc79306f772cf9461d37c9ff7b551c0592c5e8f68,3679
0x1585377b6267e487ce479b43a7abb5a689aa50e810c95ee3d995eccd0cb6b7ae,0xb8aa3df5e848c8f8878caf26df5cb257061c64d0,1225
0xaa21c56f8b44f1640ee87abf2826132de511356edd4caed50dfc26f43dbc9638,0x9999fd47e4af14405fd35ba85dece8a9e0969999,1793
0x1978a21694b7101976412d2f55f2dc58f22f31c860dbf7c971d95c5e7f03a9f1,0x7fe1533c2e9aab11d0e5074274edc53eeff8d840,597
0x334c6b30305bd28f9f2b53b726956b408aadd69a0492632563052495322d25d9,0x3bc6993d741d5bd84712e358fdec21a9da393a69,3678
0xbd2b575fa6c07dd21e4c2c6bc17724020fa48a9deafab147711a5eafed208422,0xf148d310ee342cd1a8ac15afcf75ba7a7f6cb9fb,2467
0x9774a1bf6eccc0e466737db4d26b1366b825edbc575096f8131bd04a3bebbb61,0x21a0df6bf984ba34d912960ddcb5ceb891f8a64b,673
0x9d1b5cea2280b66b3e9f5ea7c69c3b7ee07e5b55a7026fd8f866fefd5744a1dc,0x19e900f9ee644b19c566cf4351d15e763768140e,6615
0xac56072618ce519767f7adffb8f1b81ccae5c713b3d900b39875605ece4a50fb,0xaf9b7f3bf522e9d9dfbcf2fe6bae15c91bb33483,7217
0xa840f7ace5cdfbcd2787c3dcd71cfc3a37352721926203351f9a0dc77223dd0a,0x118c876f395591ae13f6db704070372d62786ca6,
0xb2c45eb0981950a9af8b561d69b9cbe76600110020a544609054e45c93c0fc20,0x16bbab53ceeb6dde7e579d7740e3b0f151dc5a00,1838
0xa685bfa0ae63d573150b74843f8a495b5595d349b3e0b4b43fe0f171640bfd10,0xdac5f253f063cf68014f044c85cd59b39660e764,103358120894327375849051002679718409334076772771640206264997458898781068006498
0xf294fdde19a4b31c398fa110210223ef3081a282fdad093f6e2dd80093a1344f,0xb3e17c714cddf0d522914c0357bfbe771887540d,4274
0x379b7b2e644e012a4908a1a8eb545bd2c2e4ed82a96c2c32e96c2da128aa5ee3,0xf52cf34c3dbad5325036d0123fae036f83d7851d,9625
0x99e1288097d4c87e0a8f2f683b9c68fea1a703396a6de1aa57bdc569dab3a910,0x21e4383a89bdf87baad2ef61254ff7197c235adf,1
0x3827e9e901ed469210e6dc4d9a73e15697063465a28d52af3cd6d7f76e4e6ec5,0x4bccc930ce07d1d6fdd55f19caef13477b23ada0,4044
0x98545aa5eb5314c1e56aa4c37a722586ff16adf949f4a42868e504bfb93fc95d,0xc717063f994e7f9a73dc7d292a7e28e30bb8913c,379
0x26e2beb43a7abf4caf9fd66c6f77239ffa4054e68bf9f2e2b3c0375379e0cac5,0x871f304fe640c2df1545930573e2f303ab7a1235,529
0x1076ed5d65733b3fe078a9471fddc818eb3e3ef7b86b6a3aec7b98df68bb4350,0x79b61b84638e723524a5aa86f0640a9f14cd7b81,9304
0x93eeb02873df6cd58efcb7451d96b4e4fde4fe69e71ec83c5a077b876c40dd31,0x1d56aee635964c83b3f070dcac154f500b695114,754
0x31884cbbd45fe0e7850037802c2e04c479cda083986c14d54622c2b36a1dd866,0x5e6bf1354722eecc29d9100ba66574b072228019,3810
0xea91eedfb3b27ec2d377cd7e56cdaa95ce1a8516622eed162e17158ef3343418,0xe1dd70bd3077cdb259d0571803cebc894a0314bd,4044
0x2ad4fe79b0a84f8a5c2b6ef8b451b8f27193633294c152b44dbfce2e4670b3fd,0xb719e142b085b47ca19905f0c0c325c5f937acfb,55
0xda7e7a87399c5eca0ee5d6841ce9483d45dc563bb2e68423f2bf8dd6a11f4845,0xc79306f772cf9461d37c9ff7b551c0592c5e8f68,3678
0xab3eff7647dd4a66da865886553b122584e2398f12662a3fa60c0e069d28f8e9,0x15b2a501578e1bdfa6612be22796ae2c4ce7e7ec,9257
0x6dd909a4640a7571466445763c2a7284597cd6b8ad510eb918e572d008676b6c,0x8382d8e5c9f2bb6f5879ace277b7051a2c2272f2,1935
0x7ba6654745d46ed5029181a7d54b2a5ee5b7a9632e655d05f6b64b3e5986d353,0x7d992c2e88d8d35bff5d6712eeee2c9445329238,2372
0xb705cd8fe967496badcdf0ce2f7413347f82fccd14f57ec733787d787bf2df0f,0x184f9db967ce5703617a15d00c5e656c2c28cb0d,696
0xd5f3a719211219821d279ad6d143bc866fe76280ea118821e646d82912755b8e,0x56785b807fa243252e711db54d3289380f8b48fe,71872126358195471187714837199255305615681738168371158246270926181165845258718
0x8207c892dad7bd03b9502f0c30d667a2e95df5f9524e3396ccd93a3089e6987e,0xe481be9435707d1086eaba71672235fc6176b005,1573
0x51d5c0ea9b10bd968d74108c70a1d58f5f84bed009fe4902368587bdb10396b0,0x43b4fba85628566d62a3b83c8f1df309bcf08983,266
0xb592918cfb244b6f66a157df8ae1ed3da20c2dd927acdabda23b7462b535ac67,0x78527407f826b53469938bfe9bf7f173cad4a631,86603954529995571
0x1ecbd70f4e58300b6b207c3bab32ff3ca97261be73245427767403f2bfc087a9,0x9501391865bde3e6d3b13b905a1fa6d037cf4129,2157
0x488f686201952207eae438da2784aa69bf1cb59437311bc1263fe387c4a49153,0xaa5d1125dcd349455dc5f04911bcb315af10c847,5614
0xdce713acd724e4e33fae32e87e4f47be66f4799005ac94ea28ebc2896602f73e,0xc17e7bc7e3dfd514271d3de935f0c82737642037,1
0x4ac953cb4b7923c98e1b395c23e970e9e38cd67ca9833d133f8883be86aaf93a,0xc46ee60558db27c65c92fb554ee15b8be296f89a,1375
0xd8dbdae40f559ab8e1fa8712164ce2a9ebab9c8b9298e6ca9521dfee145d5ad8,0x65af2cbc64465b7955c2d8cc5badf4414423f677,2513
0x320993e2980373d420f8476a607bf6946c889ff46b6e3d0185db30d321b314ad,0x860f22d6b02f3ea0cac639513b0b96aaf9edd2ca,1947
0xe11fd2460bd54b2616ff8f5b953faee36944789a9d3f64d3ca1b33d60a4402f2,0x78b63080950d8ed760641738b5902f83b6a483e7,937
0xb37d3d953716ca8e1d90469c1efe3761aa0b6ac6f82474deac870a2fabb61fca,0x7b28b67d7f4fe24eea6ff6a38dd2d289d5956a78,1814
0xd76bbc2d92139c6271bc3610a84b2748c6f6abb23271c06b12c4438bede3e54f,0xc79306f772cf9461d37c9ff7b551c0592c5e8f68,3677
0x6d17c885a8d9747896c26a887cbefec0f8b69de351bfdfbb97da4647f9b97421,0x75c4f7d29675a8238db9fec60dc89833c8bfc0bf,1170
