blockchain,project,version,block_date,tx_hash,evt_index,trace_address,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
optimism,1inch,AR v3,2021-11-13,0xe6d782086c67cf7336d3b614c70df2a0a6fa509e502256f5139633cc206e6f06,-1,,0x4200000000000000000000000000000000000006,3.7787093753041474,0x68f180fcce6836688e9084f035309e29bf0a2095,0.27474175
optimism,1inch,AR v4,2021-11-15,0x15d1c28f18ad6e3152abaa2a00046b02980acd434dde8195fb1dbf98dddd320e,-1,,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0.009993224321710448,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0.01
optimism,1inch,AR v5,2022-11-07,0x65458306424f0f21248dcd1758dbf91decb41f853e52a4273c9a04501cb41f67,-1,,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,1.605915705033996,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.001
polygon,1inch,AR v3,2021-05-12,0xfa3f410f0dc275ade43e009e1289e455b1ee16b4c50bccf52ddbabad0bf77474,-1,,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0.011620135007290292,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,
polygon,1inch,AR v4,2021-11-09,0x5c3f93d52361e3337a84493efd7a55ff669c1f754facf477f63fbdf427298052,-1,,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,1.8364855389353625,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,
polygon,1inch,AR v5,2022-11-04,0x3713f6bc4d359117f43a9358d14c8ee6067de1bb2451d821a046ec5736057c4c,-1,"3,1",0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,5000.269483526215,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,5000
optimism,unidex,1,2023-05-17,0x999c03e122c3a671694e17af375b142f75b5460285b2dbb5ed4b50ad09b9f609,0,-1,0x5d47baba0d66083c52009271faf3f50dcc01023c,57.77841991515663,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,2824.9999999999995
optimism,unidex,1,2023-07-12,0x71f1999600cb55a470b9d3a4021156bb7e8682bcd668bb7939ec257a77b70d4b,7,-1,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,49.50935975587508,0x7f5c764cbc14f9669b88837ca1490cca17c31607,100
optimism,unidex,1,2023-08-09,0xe24eb7479116e1418dd30e0ddd2d1e626ef957c6cf7df6721bfc1e3becc4da7a,73,-1,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,508.35012637873007,0x9560e827af36c94d2ac33a39bce1fe78631088db,4712.752
optimism,firebird_finance,1,2023-06-21,0xee6c8e576530a282dd8b6b0150690d2efc9bafcf535b994a9efdd95c68d6aaf0,31,-1,0x47536f17f4ff30e64a96a7555826b8f9e66ec468,18.109264993439986,0x7f5c764cbc14f9669b88837ca1490cca17c31607,28.088612
