blockchain,project,version,tx_hash,evt_index,block_number,token_bought_address,token_sold_address,token_bought_amount_raw,token_sold_amount_raw,block_date
ethereum,ekubo,1,0xb8b76455b397477528f06a685398679a1f700fe8d7169f5f21d0b68ade7b7aaf,105,22854534,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1391779705,1391437919,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0xa08782336fc70a3ad35c4cc31c8cb196eb5fb771c6e6bb56d13ec25557e974a1,106,22854734,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,7381956003,7380194004,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x6f86ea786748269cc3b7b08e9cb3d5d62d5ca23b8bdd0d2b8cbb68af02c67414,123,22854858,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,12475565,5000000000000000,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x4ab373dda77437db126bc77284a6afb2074f1e2742e6c8bf743513e834874331,12,22855076,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,19830110330,19825000000,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x4c08d817f843647b0b90c8b5be23cad911527e963da09face8d66fe61693bb8b,439,22856200,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,240158938,95259626055036090,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x7b56c2e043e50b7bb08f875ea41e883c2b7ec858fe82ce220d35be378cbcc767,253,22856511,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,365212407,145220804563068280,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0x7b56c2e043e50b7bb08f875ea41e883c2b7ec858fe82ce220d35be378cbcc767,256,22856511,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,365118051,365212407,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0x4e7e4e6e30ee4c92aba86089610c3534a7266483b6f6a7703fc56751c7f3ee70,384,22858682,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000,21897897,8685166733094079,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0x9fc137d345da03adef8426e8eff093e023d9b086c13863fc6c10e584b6d48bb2,321,22858841,0x0000000000000000000000000000000000000000,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,31952344329554137,6982500000000000000,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0xeec7c4c7a04c04044825c367faa921f6e8837cc9a69f67028b1502d95d52ebb5,295,22859395,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000,76615343,30546060407814138,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0x1d280e9b1602b0aaeebffffc5d283c6ad6bc4bb443c42d9bc3fabdc21f360bf2,208,22859434,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000000,50135964,20000000000000000,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0xb356c53e42d4490216068abd5dcfd58ae6728a7a48a2293928bbc32e13496de1,382,22859560,0x0000000000000000000000000000000000000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9995063128605943,25080711,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0xb356c53e42d4490216068abd5dcfd58ae6728a7a48a2293928bbc32e13496de1,380,22859560,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,0x0000000000000000000000000000000000000000,4776985747044596182,9995063128605943,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0xb356c53e42d4490216068abd5dcfd58ae6728a7a48a2293928bbc32e13496de1,384,22859560,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,25192500,4776985747044596182,2025-07-06 00:00:00.000 UTC
ethereum,ekubo,1,0xb356c53e42d4490216068abd5dcfd58ae6728a7a48a2293928bbc32e13496de1,381,22859560,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4993269933647321358,26383290,2025-07-06 00:00:00.000 UTC
