version,name,symbol,pool_address,decoded,dune_namespace,dune_table_name,a,mid_fee,out_fee,token_address,deposit_contract,coin0,coin1,coin2,coin3,undercoin0,undercoin1,undercoin2,undercoin3,gauge_contract
Regular,rai,rai,0x618788357d0ebd8a37e763adab3bc575d54c2c7d,yes,curvefi,rai_swap,,,,0x6ba5b4e438fa0aaf7c1bd179285af65d13bd3d90,0xcb636b81743bb8a7f1e355debb7d33b07009cccc,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0x66ec719045bbd62db5ebb11184c18237d3cc2e62
Factory V1 Plain,rETH/wstETH,rETHwstETH,0x447ddd4960d9fdbf6af9a790560d0af76795cb08,yes,curvefi,rETHwstETH,50,4000000,4000000,0x447ddd4960d9fdbf6af9a790560d0af76795cb08,0x447ddd4960d9fdbf6af9a790560d0af76795cb08,0xae78736cd615f374d3085123a210448e74fc6393,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,0x8ad7e0e6edc61bc48ca0dd07f9021c249044ed30
Factory V2,pxCVX/CVX,pxCVXCVX,0xf3456e8061461e144b3f252e69dcd5b6070fdee0,yes,curvefi,pxCVXCVX,200000000,15000000,30000000,0xace78d9bab82b6b4783120dba82aa10b040a14d9,0xf3456e8061461e144b3f252e69dcd5b6070fdee0,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0xbce0cf87f513102f22232436cca2ca49e815c3ac,,,,,,,
Regular,pbtc,pbtc,0x7f55dde206dbad629c080068923b36fe9d6bdbef,yes,curvefi,pbtc_swap,,,,0xde5331ac4b3630f94853ff322b66407e0d6331e8,0x11f419adabbff8d595e7d5b223eee3863bb3902c,0x5228a22e72ccc52d415ecfd199f99d0665e7733b,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,,,0x5228a22e72ccc52d415ecfd199f99d0665e7733b,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,0xd7d147c6bb90a718c3de8c0568f9b560c79fa416
Factory V1 Meta,Paxos Dollar (USDP),pax-usdp,0xc270b3b858c335b6ba5d5b10e2da8a09976005ad,yes,curvefi,paxusdp,1000,4000000,4000000,0xc270b3b858c335b6ba5d5b10e2da8a09976005ad,0xc270b3b858c335b6ba5d5b10e2da8a09976005ad,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc95bdf13a08a547e4dd9f29b00ab7ff08c5d093d
Regular,pax,pax,0x06364f10b501e868329afbc005b3492902d6c763,yes,curvefi,pax_swap,,,,0xd905e2eaebe188fc92179b6350807d8bd91db0d8,0xa50ccc70b6a011cffddf45057e39679379187287,0x99d1fa417f94dcd62bfe781a1213c092a47041bc,0x9777d7e2b60bb01759d0e2f8be2095df444cb07e,0x1be5d71f2da660bfdee8012ddc58d024448a0a59,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x64e3c23bfc40722d3b649844055f1d51c1ac041d
Factory V2,PAR/USDC,PARUSDC,0xdad60c5b748306ba5a0c9a3c3482a8d1153dad2a,yes,curvefi,parusdc_swap,200000000,5000000,45000000,0x030cafae2ece75ed411aeb53633fbed3092c3e32,0xdad60c5b748306ba5a0c9a3c3482a8d1153dad2a,0x68037790a0229e9ce6eaa8a99ea92964106c4703,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,,,,
Factory V1 Meta,PAR/USDC,PARUSDC,0x5b78b93fa851c357586915c7ba7258b762eb1ba0,yes,curvefi,par3crv,10,4000000,4000000,0x5b78b93fa851c357586915c7ba7258b762eb1ba0,0x5b78b93fa851c357586915c7ba7258b762eb1ba0,0x68037790a0229e9ce6eaa8a99ea92964106c4703,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x68037790a0229e9ce6eaa8a99ea92964106c4703,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,
Factory V2,AAVE/palStkAAVE,palStkAAVE,0x48536ec5233297c367fd0b6979b75d9270bb6b15,yes,curvefi,palstkaave_swap,200000000,5000000,45000000,0x6085def4343a0b5d97820f131a362dae9fe59841,0x48536ec5233297c367fd0b6979b75d9270bb6b15,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x24e79e946dea5482212c38aab2d0782f04cdb0e0,,,,,,,
Regular,obtc,obtc,0xd81da8d904b52208541bade1bd6595d8a251f8dd,yes,curvefi,obtc_swap,,,,0x2fe94ea3d5d4a175184081439753de15aef9d614,0xd5bcf53e2c81e1991570f33fa881c49eea570c8d,0x8064d9ae6cdf087b1bcd5bdf3531bd5d8c537a68,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,,,0x8064d9ae6cdf087b1bcd5bdf3531bd5d8c537a68,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,0x11137b10c210b579405c21a07489e28f3c040ab1
