block_time,token_a_symbol,token_b_symbol,token_a_amount,token_b_amount,project,version,category,trader_a,token_a_amount_raw,token_b_amount_raw,usd_amount,token_a_address,token_b_address,exchange_contract_address,tx_hash,tx_from,tx_to,evt_index,trade_id
2022-09-04T07:34:25+00:00,WETH,SIPHER,0.0905073507044539,763.809006586784,Kyber,dmm,DEX,\x41684b361557e9282e0373ca51260d9331e518c9,90507350704453900,763809006586784349960,140.242950063565,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,\x9a56f30ff04884cb06da80cb3aef09c6132f5e77,\x2e41c00739aa6ac2b0486767a6b2fa2ec698a4e6bea4baf6da7f293ff274e41f,\x334becf07dbe536a0700e83d794a6669150cb4e7,\x617dee16b86534a5d792a4d7a62fb491b544111e,266,1
2022-09-04T07:34:25+00:00,USDT,WBTC,140.457307,0.00710575,Kyber,dmm,DEX,\x334becf07dbe536a0700e83d794a6669150cb4e7,140457307,710575,140.558998090268,\xdac17f958d2ee523a2206206994597c13d831ec7,\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,\xd343d5dba2fba55eef58189619c05e33cab95ca1,\x2e41c00739aa6ac2b0486767a6b2fa2ec698a4e6bea4baf6da7f293ff274e41f,\x334becf07dbe536a0700e83d794a6669150cb4e7,\x617dee16b86534a5d792a4d7a62fb491b544111e,277,1
2022-09-04T07:30:09+00:00,REQ,WETH,12310.1030614012,0.93884363510191,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,12310103061401200000000,938843635101909605,1444.98451755339,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xa97642500517c728ce1339a466de0f10c19034cd,\x423051e75e573366a46fc07ff561109b1a3de907393edf7d3a41259870630d63,\x0cac3d1a887206e0f6169222c4504301a8b4b993,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,8,1
2022-09-04T07:32:06+00:00,WETH,REQ,0.766236488172036,10161.270748506,Kyber,dmm,DEX,\x22f9dcf4647084d6c31b2765f6910cd85c178c18,766236488172036000,10161270748506047225337,1187.29876315233,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xa97642500517c728ce1339a466de0f10c19034cd,\x62b28a5e5e108d8a80763b78f4ecbf0ba336e31e8e3748d2e817bddc9c806390,\x8594d8e9483473626908648a5539d9d65ca2fe8d,\xdef1c0ded9bec7f1a1670819833240f027b25eff,24,1
2022-09-04T07:31:02+00:00,WETH,REQ,1.11311537986198,14787.3539807381,Kyber,dmm,DEX,\x288931fa76d7b0482f0fd0bca9a50bf0d22b9fef,1113115379861980000,14787353980738082069441,1724.79454340373,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xa97642500517c728ce1339a466de0f10c19034cd,\xa18df5bfaa8c61f42965686d57a526368c8d261ebda1072c75b3397e76ada781,\x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,\x1111111254fb6c44bac0bed2854e76f90643097d,33,1
2022-09-04T07:32:06+00:00,REQ,WETH,9945.015474571,0.75893532102363,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,9945015474571000000000,758935321023629558,1174.37704234567,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xa97642500517c728ce1339a466de0f10c19034cd,\xa9cf20f93716735ffed9f38a65b999b543b8a7d6bc098231df2b271a41caab2e,\x1c8f6a5f009e051cab9c3851ca2da2c936b2775a,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,55,1
2022-05-04T03:43:27+00:00,WBTC,USDT,0.02525311,958.258747,Kyber,dmm,DEX,\xd12bcdfb9a39be79da3bdf02557efdcd5ca59e77,2525311,958258747,960.9684637917,\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,\xdac17f958d2ee523a2206206994597c13d831ec7,\xd343d5dba2fba55eef58189619c05e33cab95ca1,\x3a184acd699e5c7d20d6458e7f6c86fff30f0165d357e7dbb6f0e427b5aa75a0,\x5a7ef235913019069aa594cd79b211219f6f449d,\xdf1a1b60f2d438842916c0adc43748768353ec25,339,1
2022-05-04T03:43:27+00:00,APE,ETH,664.773647978798,3.41267763880732,Kyber,dmm,Aggregator,\x5a7ef235913019069aa594cd79b211219f6f449d,664773647978798000000,3412677638807314793,9705.69526049045,\x4d224452801aced8b2f0aebe155379bb5d594381,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x3a184acd699e5c7d20d6458e7f6c86fff30f0165d357e7dbb6f0e427b5aa75a0,\x5a7ef235913019069aa594cd79b211219f6f449d,\xdf1a1b60f2d438842916c0adc43748768353ec25,350,1
2022-09-04T07:44:31+00:00,WETH,REQ,1.23817803874126,16562.6351998115,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,1238178038741260000,16562635199811495572392,1918.21018117874,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xa97642500517c728ce1339a466de0f10c19034cd,\x174eb179cd3d310f1b321be786d75a81078c5cafeb99f5ab9f5c6f19d430a303,\x36a454aef52938c8637cd4689b2980c1cfd43389,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,19,1
2022-09-04T07:43:41+00:00,USDT,WBTC,20.318389,0.00102939,Kyber,dmm,DEX,\x334becf07dbe536a0700e83d794a6669150cb4e7,20318389,102939,20.338951209668,\xdac17f958d2ee523a2206206994597c13d831ec7,\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,\xd343d5dba2fba55eef58189619c05e33cab95ca1,\x22f15e83e0c76f1181052b8e6a82cdcd41778f0b46a0930000e1bdf452d32676,\x334becf07dbe536a0700e83d794a6669150cb4e7,\x617dee16b86534a5d792a4d7a62fb491b544111e,579,1
2022-09-04T07:47:45+00:00,REQ,WETH,5382.81325707138,0.40522186202352,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,5382813257071380000000,405221862023519879,627.676507618572,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xa97642500517c728ce1339a466de0f10c19034cd,\x8caf0972f9e635b2ee6273665b297bb56d91038676e0bc848b97a60f73898491,\xfb9779477e5b4834bf2bc02dd29b97b344d0f700,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,27,1
2022-09-04T07:40:05+00:00,WETH,REQ,0.472041329840564,6249.72972606122,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,472041329840564000,6249729726061224685263,731.295869015599,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xa97642500517c728ce1339a466de0f10c19034cd,\xda75d4ee5c305865e5e20cff2e5f9c6c2f6dd5de666f18119ea16839854247bf,\x26bce6ecb5b10138e4bf14ac0ffcc8727fef3b2e,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,323,1
2022-09-04T07:48:20+00:00,WETH,REQ,1.76579216597115,23752.105346324,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,1765792165971150000,23752105346324040010866,2735.15909132434,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xa97642500517c728ce1339a466de0f10c19034cd,\xf879fa407393f9ecfb531969917af28b838e55be2f917522ae43420b070f7f7c,\xfb9779477e5b4834bf2bc02dd29b97b344d0f700,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,36,1
2022-09-04T07:47:51+00:00,REQ,WETH,8482.84972998017,0.642616596771932,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,8482849729980170000000,642616596771931861,995.393829901819,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xa97642500517c728ce1339a466de0f10c19034cd,\xfab06187b7a57a3606336d5964fb0f82533d23d0e76fb025d09f7ae5774f3c97,\x1c8f6a5f009e051cab9c3851ca2da2c936b2775a,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,130,1
