evt_tx_hash,evt_block_time,price
0xb095d772cccb8140a489f9a01d6cff82ac94d42f0e0c9080c4eddac9f238f899,2022-05-23T23:58:55+00:00,900000000000000000
0xc708b7a60318b0a48b2e6ce15d2d5ee6500acbaaaf8046e8ea3026bf4884cec1,2022-05-23T23:58:55+00:00,1100000000000000000
0x3c20734bac5e07b3e91e79c5a0a307feb3cc7319ec3e8832ef7af50192b8b46f,2022-05-23T23:58:34+00:00,196000000000000000
0x45f9a72e5fc0b317dce2ec45483b5dd88aa89cca084c62963077149c103fc298,2022-05-23T23:58:34+00:00,0
0x50a5dabe598b43524c07b4e24a85ee191815cf6e22f78f45eaa0a96693f8cd25,2022-05-23T23:58:34+00:00,33000000000000000
0x85e7e926738d9d5729a24853aa8acc05fc960529048c53e9e2587eabf7ee524e,2022-05-23T23:58:34+00:00,25000000000000000
0x94209022a5badd3b1eebfd0daf3c2c753a6d6032680eabc6e9e12ca8d1088441,2022-05-23T23:58:34+00:00,10000000000000000
0x95278957db699873f99685cf3e0653ac87fb9ad1850b183362f46e50bcb61f38,2022-05-23T23:58:34+00:00,0
0xb41eb4448ae131c59425e60be66d0d663fca953f5e5b63be00ec41b3ad196d91,2022-05-23T23:58:34+00:00,700000000000000000
0xb90a4946acd6150f66390c594ee68f9b770d298fb5331cd1e8389517987517a3,2022-05-23T23:58:34+00:00,69000000000000000
0xbadbf9c90721ee195ea60e3a8f2e7f205d92273e3cdc2d6a2cde856a21e8ee63,2022-05-23T23:58:34+00:00,120000000000000000
0xd996afd15b21f191420d410f7533190f3c5959e6365ff8fae6b33f6f54949a1e,2022-05-23T23:58:34+00:00,200000000000000000
0xe9b51bc9700fdd30451338929bc5b34f8eef630283260912ecd4056c9c07e7e2,2022-05-23T23:58:34+00:00,20000000000000000
0xeb3baad8eb5e533ebca7adad72dd41a28c7984221b52dc2abc696ebd7cf532f6,2022-05-23T23:58:34+00:00,2000000000000000
0xf2ce841c8f954dda476633a03881a0c8441f0f0b399fea8291667f3218757849,2022-05-23T23:58:34+00:00,440000000000000000
0x17d79fd9072d17c6bd122b5625edd09297e06d554f9da802a3899c03f13c80e0,2022-05-23T23:58:28+00:00,39000000000000000
0x19e8d3573f3b236d91de66b0c3f805ea5f1849fbf68f861bb0626e9baf5b0c76,2022-05-23T23:58:28+00:00,14000000000000000
0x6635dcd9905ddcbd3af889f829144836253b6326f8ed1f712301e24c15eecca0,2022-05-23T23:58:28+00:00,72000000000000000
0xedb5a80c0a1f6847fa52c3740b78e8ebea4191a8f41347989d8c42c58bff51eb,2022-05-23T23:58:28+00:00,2660000000000000
0xf71c371d6e2fba516685ca290311851532b611e26554a15a89601f3c24286728,2022-05-23T23:58:28+00:00,125000000000000000
0x02ec1a644c04e98e2a5365a81b42102956dea7980858864dd7af3daa5107337e,2022-05-23T23:58:14+00:00,3000000000000000000
0x0b72cd1bbfa8ce4abd771836eff734104a159204d5e58ccf4bbdd8dfa11c89fd,2022-05-23T23:58:14+00:00,185000000000000000
0x111fad38ad2342b2c62b52f70e542bd7d9eb3465e52b31a14141f8cd803f1b68,2022-05-23T23:58:14+00:00,82000000000000000
0x2d7d110a1cb786f2605a1930569bfb40180c20492e3459f362999535c6652b32,2022-05-23T23:58:14+00:00,325000000000000000
0x2d9c6eda23281e39572e43e0c8766516172bffd814c2bfb8eb90915257e594a3,2022-05-23T23:58:14+00:00,540000000000000000
0x4ac8a6dac48c935b62241a1e968585abb6bf8c28886bcd6521fda45b81436cc4,2022-05-23T23:58:14+00:00,100000000000000000
0x5421369852c0dc537414ee85eb669048807cc1466e01a8bf6044117826162567,2022-05-23T23:58:14+00:00,5000000000000000
0x5a045b0cb9c29b4903352175eb5a2f2131ca665f9a39ce70972dabf8c4e1f331,2022-05-23T23:58:14+00:00,197000000000000000
0x5fec4d5764374f80e708671d946024fd047b6b99492f83b599bbe29b4a24b11e,2022-05-23T23:58:14+00:00,44000000000000000
0x76e78b987ada2c37d4fc4fe92d4ee4415275e613f9bca22e3d8c0b9c035c40ef,2022-05-23T23:58:14+00:00,6000000000000000
0xb91174233cd6ff6b78783d5dfce794e5e54629c94606e06fb06d3e351d7805d7,2022-05-23T23:58:14+00:00,2990000000000000000
0xdce5f98a84407b089b405c10779117fe20e8278bb058029889401fd56652c339,2022-05-23T23:58:14+00:00,0
0xeaadfeef2ef66c9235da3b037c4e96dca1326f84013197a8b4b325bf440d36c3,2022-05-23T23:58:14+00:00,5000000000000000
0xed81ef4ec315faa12b5985c0c4c2094a327426f299d5bd8219e79bfbd459d49d,2022-05-23T23:58:14+00:00,475000000000000000
0x0884b1b141b97eb7e86980a132aaa435329fe40920596d2664f3070617260f05,2022-05-23T23:58:10+00:00,48000000000000000
0x1138fd12f49f6d90560bf34f0dff5aeaa0cbc900438568362046a1dfe2b3546d,2022-05-23T23:58:10+00:00,3990000000000000000
0x159492c56b855ac8b84d196016b31635e27533ca79753e36e1df7773d0a33fd9,2022-05-23T23:58:10+00:00,20000000000000000
0x1bc92dce434b6022b22a204f4d18fe16477d1653187e35e77d27f0c8cc09065d,2022-05-23T23:58:10+00:00,128000000000000000
0x1de5533e3da8c98797120f034304d0dcc964619649876320dc0bf67054e83435,2022-05-23T23:58:10+00:00,50000000000000000
0x21a091f62a1de042823e447c98636d4d002d2e749ff9ca105f5ec28488efc15a,2022-05-23T23:58:10+00:00,440000000000000000
0x47e030f3117c3918d4c7f01452e1d51654c83be74f62b7f04e8440105bef618d,2022-05-23T23:58:10+00:00,630000000000000000
0x7eb389877ad20c9c2d9acea1235254aced7d74782c1e7cdf0b2e8922aa797131,2022-05-23T23:58:10+00:00,399999999990000000
0x833c4b2683ffb22be842c5d9f0a60f13f70db14147094815f73542464695eb92,2022-05-23T23:58:10+00:00,9900000000000000
0x8efd2955ce2b4f3c2ff0f135448483ff0d64782f41fdf63033c19f29c18887ee,2022-05-23T23:58:10+00:00,100000000000000000
0xadd9e075dc2474b20903d16b132e05372395184347c698e4e12d9221ba7007ca,2022-05-23T23:58:10+00:00,199000000000000000
0xd84724dd9ad83b42284e8b59a16e052e4aca6ae3cf670ea8a237d72b55857e6b,2022-05-23T23:58:10+00:00,40000000000000000
0xe021a024a526e55d60f0326380b9b610d4dbbea1156bbae8bae8b88a061b8f68,2022-05-23T23:58:10+00:00,9000000000000000
0xe837b2090f33966759172110596f06378bb574f1872e40641daf3ea1ed651894,2022-05-23T23:58:10+00:00,97000000000000000
0xf27bcff9184d062eb7a421e488b204bf7d1313eb4279e0f6867f40ca793bf765,2022-05-23T23:58:10+00:00,15000000000000000
0x74a12ef06cdb52a8a1bf39dce96b69b03950f70aa29c1a524daae0dadaf72f3b,2022-05-23T23:57:43+00:00,0
0x26893601498ded844b278437a5307e3691fe6816c0f2436a5c6d8aea10f12422,2022-05-23T23:57:33+00:00,199000000000000000
0x3ce4f99f4ef213d36800ad4102c3501f1c44e2199f7e7b023f1d775721bdc845,2022-05-23T23:57:33+00:00,20000000000000000
0x40afede391b389eb3b8983abe98c91ed1b3ae53571f85d1e953a94fb2726b51a,2022-05-23T23:57:33+00:00,620000000000000000
0x62efc6d36e4b22017bdd1f0f224baa693e2833d73377ab3dd3f75936976e3917,2022-05-23T23:57:33+00:00,128000000000000000
0xdef4cf3fb7e19b8fd7274ded8b7a7560225d74db1637b3d94a1cde4a22248538,2022-05-23T23:57:33+00:00,21000000000000000
0xee40e0dd4a13b465f16875c4d1233d1c2ab54be3a5c81fec310a954e7fc78ff5,2022-05-23T23:57:33+00:00,5000000000000000
0x00e218316902cf50faad12c05834318d0ac141b695f6077d03a5e260aebaabb9,2022-05-23T23:57:23+00:00,20000000000000000
0x00e218316902cf50faad12c05834318d0ac141b695f6077d03a5e260aebaabb9,2022-05-23T23:57:23+00:00,25000000000000000
0x60a7ccdd7788aa1805810fa4685797b9b773db4ab9a88e1ea156e957083770c8,2022-05-23T23:57:23+00:00,19000000000000000
0x798a2728128f9d54d8c5a81f03aebde9738ee6561f8d2d127feed1d0e77b6e23,2022-05-23T23:57:23+00:00,15987000000000000
0x7d5213504c6a975ad71c775b7c1f9b13cde0e00531650455c451771447a3cb77,2022-05-23T23:57:23+00:00,50000000000000000
0xa80bf189df47751291b0d9582b665d3e9dd88573a7404dd15116a1005fb84e7a,2022-05-23T23:57:23+00:00,2660000000000000
0xe41801110141b64a92fa08009d20a1508a26d427477e92f6508b5464537786fe,2022-05-23T23:57:23+00:00,18000000000000000
0x0687d41eb46e518fa24d4f1019ab24aa2d603507edb99bc49a42266d5faea8ff,2022-05-23T23:57:12+00:00,0
0x155764894c6fb7df4bc4936fea9cef62a4bfa7763f6b9302df25a6180a3c5187,2022-05-23T23:57:12+00:00,37000000000000000
0x16430ab60df887f761a829afaa3f34829545418a84da622b34384b404b6d6f9c,2022-05-23T23:57:12+00:00,23450000000000000
0x1e9350a3a522217f5b843ef5c1b9ef83241de8e554d82bf2993db76b897f7b6b,2022-05-23T23:57:12+00:00,989000000000000000
0x29bd98c9f450fddfbeabd6536ff8a5b1262cd811f6d65cd8d67c3ae0606d9b35,2022-05-23T23:57:12+00:00,75000000000000000
0x329fcd01cb9fed5a157a92bc013ca79d9b932effe92a7a26642c92595f0f0ef5,2022-05-23T23:57:12+00:00,44000000000000000
0x398832e5d65e4df93a531d109b7cffa245715184bc21cac32c3c148d26aba7b0,2022-05-23T23:57:12+00:00,50000000000000000
