blockchain,project,version,nft_contract_address,token_id,token_standard,trade_category,buyer,seller,project_contract_address,aggregator_name,aggregator_address,tx_from,tx_to,block_time,block_date,block_number,tx_hash,unique_trade_id,buyer_first_funded_by,seller_first_funded_by,same_buyer_seller,back_and_forth_trade,bought_it_three_times_within_a_week,funded_by_same_wallet,is_wash_trade
ethereum,blur,v1,0x60e4d786628fea6478f785a6d7e704777c86a7c6,6240,erc721,Buy,0xf55af53a6ea7cdb03e139157f30a424a116276a6,0xa1aafb06268f3396c4683e3f635a4aff0e040e46,0x000000000000ad05ccc4f10045630fb830b95127,,,0xf55af53a6ea7cdb03e139157f30a424a116276a6,0x000000000000ad05ccc4f10045630fb830b95127,2022-11-20T05:15:35Z,2022-11-20T00:00:00Z,16009076,0xc5ceeecd440c4ef660bc6a5b6b537828c5170ac898dc4ec415def673a212e244,ethereum-blur-v10xc5ceeecd440c4ef660bc6a5b6b537828c5170ac898dc4ec415def673a212e244-0xa1aafb06268f3396c4683e3f635a4aff0e040e46-0xf55af53a6ea7cdb03e139157f30a424a116276a6-0x60e4d786628fea6478f785a6d7e704777c86a7c6-6240,,,false,false,false,false,false
ethereum,opensea,v3,0x8407fe3a57b746100a11990c8a4f5604cfd2e955,8391,erc721,Buy,0xc4735f286c938931afbe5295824480e998bf5485,0x9b0ac232c29edcc2d7f286fb567f6b99f54fc8c5,0x00000000006c3852cbef3e08e8df289169ede581,,,0xc4735f286c938931afbe5295824480e998bf5485,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T01:48:59Z,2022-11-20T00:00:00Z,16008047,0xb3148addbc9a67942683b24afc33b80892442370b8ab4a51050c98fe4481727b,seaport-0xb3148addbc9a67942683b24afc33b80892442370b8ab4a51050c98fe4481727b-57-0x8407fe3a57b746100a11990c8a4f5604cfd2e955-8391-1,,,false,false,false,false,false
ethereum,opensea,v3,0x91220b88311dcd521e0d68466ef39514a1baeebc,2734,erc721,Buy,0xa2fb09cb58fb0f0916c35bfbe0b3ac55e551fe4e,0x8a0a677d64e5a428bdd04c2a96610010835396f6,0x00000000006c3852cbef3e08e8df289169ede581,,,0xa2fb09cb58fb0f0916c35bfbe0b3ac55e551fe4e,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T21:09:35Z,2022-11-20T00:00:00Z,16013817,0xd6d0377b02cc735e54f8f8d8146acf49fca6842c8d13e54b02c4cf905e01c71f,seaport-0xd6d0377b02cc735e54f8f8d8146acf49fca6842c8d13e54b02c4cf905e01c71f-186-0x91220b88311dcd521e0d68466ef39514a1baeebc-2734-1,,,false,false,false,false,false
ethereum,opensea,v3,0xaf559c34d94b0fb7067b5911451fd031802547dd,3743,erc721,Buy,0x961f2a19c2763ea9f5d71d46611c18d9c16190bf,0xde2ba000bc41193b53005b52b3a7ea7595e81475,0x00000000006c3852cbef3e08e8df289169ede581,Gem,,0x961f2a19c2763ea9f5d71d46611c18d9c16190bf,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T03:25:35Z,2022-11-20T00:00:00Z,16008530,0x8d6520c91a294acf0b98f8d0593beab354af0e1c0088deb0479c8226ebc14128,seaport-0x8d6520c91a294acf0b98f8d0593beab354af0e1c0088deb0479c8226ebc14128-284-0xaf559c34d94b0fb7067b5911451fd031802547dd-3743-1,,,false,false,false,false,false
ethereum,opensea,v3,0x34b4df75a17f8b3a6eff6bba477d39d701f5e92c,370,erc721,Offer Accepted,0xac8c1ba697b4d7b9a41bd17d1c645be69d67cac9,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0x00000000006c3852cbef3e08e8df289169ede581,,,0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T00:41:23Z,2022-11-20T00:00:00Z,16007709,0x43a3c5e1be3154f47543be6b67e425f23b119b6c0f288c6d8f3699fa1b5b9cfb,seaport-0x43a3c5e1be3154f47543be6b67e425f23b119b6c0f288c6d8f3699fa1b5b9cfb-126-0x34b4df75a17f8b3a6eff6bba477d39d701f5e92c-370-1,,,false,false,false,false,false
ethereum,opensea,v3,0x0735a2961eb2b18b28daa72b593dfbaa7f9d1929,2621,erc721,Buy,0x21d5996bbc760627d71f857f321249b61da96351,0x8ecbad4833ffe28125ff23c9ed80f4c4765246dc,0x00000000006c3852cbef3e08e8df289169ede581,,,0x21d5996bbc760627d71f857f321249b61da96351,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T14:48:47Z,2022-11-20T00:00:00Z,16011922,0xb089272d00f4a997531a22c6d5b3660a1282c2629517e9bc88005a785f24aec0,seaport-0xb089272d00f4a997531a22c6d5b3660a1282c2629517e9bc88005a785f24aec0-50-0x0735a2961eb2b18b28daa72b593dfbaa7f9d1929-2621-1,,,false,false,false,false,false
ethereum,opensea,v3,0xb95abd5fa9e71f1981505c3d9a7800c369b0718c,5073,erc721,Buy,0xc3743f58823e352f27b2dd0465f36ad71a83662a,0x99391f187de35e4f3a9c95da770beef1a2ddf4fb,0x00000000006c3852cbef3e08e8df289169ede581,Blur,,0xc3743f58823e352f27b2dd0465f36ad71a83662a,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T17:28:59Z,2022-11-20T00:00:00Z,16012720,0xd7c2a7aa18c0c24038e76000c58a9bff8378c9033357d695b3d641b6b5c8aa64,seaport-0xd7c2a7aa18c0c24038e76000c58a9bff8378c9033357d695b3d641b6b5c8aa64-227-0xb95abd5fa9e71f1981505c3d9a7800c369b0718c-5073-1,,,false,false,false,false,false
ethereum,opensea,v3,0xaf559c34d94b0fb7067b5911451fd031802547dd,7514,erc721,Buy,0x525af8eef093e3a3f017bbbccc9560814889c3f4,0x73b41fafc67fbee0afd35eaeaba76e7468083f07,0x00000000006c3852cbef3e08e8df289169ede581,,,0x525af8eef093e3a3f017bbbccc9560814889c3f4,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T03:37:11Z,2022-11-20T00:00:00Z,16008587,0xf33f05835262f09cdad224f01e3fa744061ab1d42ee95321c3541dd76e637715,seaport-0xf33f05835262f09cdad224f01e3fa744061ab1d42ee95321c3541dd76e637715-36-0xaf559c34d94b0fb7067b5911451fd031802547dd-7514-1,,,false,false,false,false,false
ethereum,opensea,v3,0xa604060890923ff400e8c6f5290461a83aedacec,26963079680335943642718119227576773365075194056976289936417983297015877992458,erc1155,Buy,0xc358522c2eb462e4886f4c5a53e5e380a616b63a,0x3b9c8ff1eaf30c9fe9ed1b54fdd1a64ee53181e7,0x00000000006c3852cbef3e08e8df289169ede581,,,0xe68aa3b7e84c0b65d80775652fedc959b2c14bb3,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T09:13:59Z,2022-11-20T00:00:00Z,16010260,0x9f559a217396d764d26d6553f7c9ef128819990ab1e0f0027abc5d591101ba11,seaport-0x9f559a217396d764d26d6553f7c9ef128819990ab1e0f0027abc5d591101ba11-133-0xa604060890923ff400e8c6f5290461a83aedacec-26963079680335943642718119227576773365075194056976289936417983297015877992458-1,,,false,false,false,false,false
ethereum,opensea,v3,0x413788815307ce10428c624ed20998e2c35bbf2d,533,erc721,Offer Accepted,0xf5a2e6667c9f5da50c8cf9493f36bc2d2df37441,0xe2f9fc75984516748405cc2c184fc7cf1be11026,0x00000000006c3852cbef3e08e8df289169ede581,,,0xe2f9fc75984516748405cc2c184fc7cf1be11026,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T13:40:59Z,2022-11-20T00:00:00Z,16011585,0x566d76a639add3a62d1204cc6c644dc3d39c5ac924532a5d87fc816e5cb38a6a,seaport-0x566d76a639add3a62d1204cc6c644dc3d39c5ac924532a5d87fc816e5cb38a6a-177-0x413788815307ce10428c624ed20998e2c35bbf2d-533-1,,,false,false,false,false,false
ethereum,opensea,v3,0x3f39ca26c1f4a213e96b3676412a41969ec2bb2a,9949,erc721,Buy,0x950078c931d0e532c452bf84b2f574cf5c1bc782,0x64b54dc5276d6b9383f827276913a4e88de355de,0x00000000006c3852cbef3e08e8df289169ede581,,,0x950078c931d0e532c452bf84b2f574cf5c1bc782,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T00:33:35Z,2022-11-20T00:00:00Z,16007670,0x17fefd22c02cbec98ce473faed6c8b57287370758ee79d380406b5a60809d229,seaport-0x17fefd22c02cbec98ce473faed6c8b57287370758ee79d380406b5a60809d229-239-0x3f39ca26c1f4a213e96b3676412a41969ec2bb2a-9949-1,,,false,false,false,false,false
ethereum,blur,v1,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,98783,erc721,Buy,0xc6b1851514e2b630cf42ee34b64a8c1363a2326d,0x55d5b8b2accdc16cf561b2c93877d8f310cc6e64,0x000000000000ad05ccc4f10045630fb830b95127,Blur,0x39da41747a83aee658334415666f3ef92dd0d541,0xc6b1851514e2b630cf42ee34b64a8c1363a2326d,0x39da41747a83aee658334415666f3ef92dd0d541,2022-11-20T01:53:59Z,2022-11-20T00:00:00Z,16008072,0xdf2d7857994405a598b60c7e8cbc46f49954e99f8b0b69385c7f01d0d24c0cc4,ethereum-blur-v10xdf2d7857994405a598b60c7e8cbc46f49954e99f8b0b69385c7f01d0d24c0cc4-0x55d5b8b2accdc16cf561b2c93877d8f310cc6e64-0xc6b1851514e2b630cf42ee34b64a8c1363a2326d-0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258-98783,,,false,false,false,false,false
ethereum,opensea,v3,0xa30cf1135be5af62e412f22bd01069e2ceba8706,1990,erc721,Buy,0x47ea0ab486f9d00f16d9f248e3388586e061f7f8,0xd4e791d799b8873d86ac06a5fedf2f1a75f639be,0x00000000006c3852cbef3e08e8df289169ede581,,,0x47ea0ab486f9d00f16d9f248e3388586e061f7f8,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T11:48:35Z,2022-11-20T00:00:00Z,16011029,0xa11a186e2087bfe83e7738a6a61aab8b205f5061ecdc364159a9fa2551294e90,seaport-0xa11a186e2087bfe83e7738a6a61aab8b205f5061ecdc364159a9fa2551294e90-286-0xa30cf1135be5af62e412f22bd01069e2ceba8706-1990-1,,,false,false,false,false,false
