tx_hash,block_time,nft_token_id,original_amount
0x000dae51165eb59ebe90816088b6c211735bb1b38e6ed6a83218a7b7b34aa07b,2022-01-15T21:12:52+00:00,8997,210
0x000db24dc8217e4d8979f98c4032a42fe79a43f7d186fb2742a7ec81dc8dc5c7,2022-06-22T16:24:21+00:00,1134,0.2
0x000dbb7fabd2a785583ebd10ceef74fdb4cd96a760a1df2fdabcf6c960ed924f,2022-06-15T03:56:17+00:00,3154,0.15
0x000dd4f840c8e4811f032008d203a25c5bdd8fd007c3cdaf77e4e57ebb4469ab,2022-01-29T23:21:42+00:00,1,0.01
0x000e7a87cfea4d9f62aaede70d63dc8f8f45297d157d40dab09bf050fe879803,2022-05-01T13:31:00+00:00,602,3.7
0x000eae8bd8baa891cb4cf9d598b7b13f5ff279f72792d9b252e60e3ac3a0ea28,2022-02-04T23:17:50+00:00,5,0.4
0x000ed271bf964af3d22e629393fd7f8eea94689af321a250b4c80f3a2da632a3,2022-02-03T18:35:24+00:00,7899,0.289
0x000ee73961d273fb79e19e6a3b4767ec0d13fc4f3573f32ccf36b3f32de137c1,2022-01-19T23:25:39+00:00,689,143.889433
0x000f5c920d4f45f57c6cf9fc789bd97f5fb2b442e63003d798451cfa8288eaff,2022-06-10T23:41:46+00:00,3637,0.19
0x001023c8676b3a6e1d51c47ab3d59914adaf1777d4d89ec5c60f42b7a2582f02,2022-05-06T10:37:00+00:00,6945,104.8
0x00103e7c025d33fa2f50de840eff467e5c9b9318fe5c3f98b1212bdcacc469da,2022-03-13T08:37:31+00:00,3664,0.0001
0x00104ba80368f66fa04a835c85c845a8eff890dcbe54056849f8e196d48b70fb,2022-03-22T15:49:06+00:00,3209,0.34
0x00108180e6908d4b274c2d8c64ceaf6bfa6481bb9fd4c7c79b771d01a7b679c3,2022-04-19T17:02:35+00:00,13354,1.27
0x001085dbe758d36813bfe7269f0aeca4e97a25a4f0cb5867db5c9ef7070a9dcd,2022-03-15T19:42:30+00:00,7983,0.3
0x0010ca65f1733cb6f5624c94674d9eb6fecf6ffc822264b4d4a15f1a85641798,2022-02-18T15:29:50+00:00,3904,0.15
0x0010cc86232c2077c41a299709b721f037934ad60687c65e31a93734ec1a09c7,2022-05-26T12:13:37+00:00,475,0.35
0x0010db571d2d7ca0a414d0b5307f3eda1234cf93c3251100f4aa39875df0a326,2022-01-12T19:19:23+00:00,244,0.01
0x00114cdd2f4fed598ba0671dd3dd2e3d002c57a8211c188fbbae31408331ce09,2022-03-10T03:05:18+00:00,4012,0.08
0x00118024806eafc9b4c8bd578bbb75c28d67117c4fc12c6328c0995d8151e861,2022-01-29T19:43:46+00:00,9788,0.98
0x00119aabd3f56457975aed78446a7a824cac840fd167fa9f17cb21acebc37a99,2022-04-22T06:18:48+00:00,40,0.18
0x001200fb24284a97a7a1b9987db4422afd9369db8bcffa49f36d62ffbb5ba7d1,2022-02-17T06:29:10+00:00,19058,2.12
0x00127785697a2ee3b2a248981543235405b1ae05db84e5296e614801cd2390c8,2022-03-02T11:38:54+00:00,6964,0.1
0x001284042ce85d3180f0792b2dd0f957b3e001763d664b7c52b224f4934c1a5b,2022-05-19T19:35:12+00:00,1748,0.0479
0x00128c641927e5f91e5dd840df5b7130811275ee7aade13280e81bb9a4a0c9e9,2022-03-25T04:30:40+00:00,1948,360
0x0012e0d0f97fa887fe899df1d2d66c0f49129723a2b5835e8f226cbaec126bc2,2022-06-17T09:59:07+00:00,3854,0.064
