blockchain,day,wallet_address,token_address,symbol,unique_transfer_id,amount_raw,amount
bnb,2021-03-08 00:00,0xf65c1c0478efde3c19b49ecbe7acc57bb6b1d713,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xf65c1c0478efde3c19b49ecbe7acc57bb6b1d713-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-08 00:00:00,526792922262003100000,526.792922262003
bnb,2021-03-13 00:00,0xa823c74de2343e922ab24520f29d08390b4e894d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xa823c74de2343e922ab24520f29d08390b4e894d-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-13 00:00:00,504154977032463400000,504.154977032464
bnb,2021-03-05 00:00,0x470bc451810b312bbb1256f96b0895d95ea659b1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x470bc451810b312bbb1256f96b0895d95ea659b1-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-05 00:00:00,-270086373050208780000,-270.086373050209
bnb,2021-03-09 00:00,0xed81c1fbbfe8a3051f96d1532b800c967e88eb16,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xed81c1fbbfe8a3051f96d1532b800c967e88eb16-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-09 00:00:00,-97526426334419660000,-97.5264263344196
bnb,2021-03-04 00:00,0x20a3dc9c2ac748e3684015209735b7cdd6ca6ba5,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x20a3dc9c2ac748e3684015209735b7cdd6ca6ba5-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-04 00:00:00,-6704379423333979000,-6.70437942333397
bnb,2021-03-12 00:00,0x3de669c4f1f167a8afbc9993e4753b84b576426f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x3de669c4f1f167a8afbc9993e4753b84b576426f-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-12 00:00:00,-1.27133008662123E+21,-1271.33008662123
bnb,2021-03-10 00:00,0x9f40e8a2fcaa267a0c374b6c661e0b372264cc3d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x9f40e8a2fcaa267a0c374b6c661e0b372264cc3d-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-10 00:00:00,567702718902001700000,567.702718902001
bnb,2021-06-01 00:00,0x09cb618bf5ef305fadfd2c8fc0c26eecf8c6d5fd,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x09cb618bf5ef305fadfd2c8fc0c26eecf8c6d5fd-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-06-01 00:00:00,-8.27536004156882E+21,-8275.36004156881
bnb,2021-06-01 00:00,0x82ab370d2055e083747876885e3ad0b829cfb524,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x82ab370d2055e083747876885e3ad0b829cfb524-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-06-01 00:00:00,-997941154073071400,-0.997941154073069
bnb,2021-05-31 00:00,0xa573ffd839aa1dc94ca6ae7ed75253c2ac7c2ec8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xa573ffd839aa1dc94ca6ae7ed75253c2ac7c2ec8-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-05-31 00:00:00,-2163,9.37834879199961E-16
