block_time,block_date,block_month,block_number,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_percentage_fraction,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,bribe_usd,bribe_token_amount,bribe_token_symbol,bribe_token_address,project,version,token_pair,project_contract_address,user,tx_hash,evt_index,is_last_trade_in_transaction
2024-07-02 08:58:29.000 UTC,2024-07-02 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16560681,base,18.381387866785996,Sell,0.005338336663526055,WETH,0x4200000000000000000000000000000000000006,343.8333359732561,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,0.005,0.18381387866782709,0.000053383366635251,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,aerodrome,1,BORPA-WETH,0x936be91f9706c456d329236a2f233c6fc1d07b1e,0xe9182727fe5494e46b13c0568fb353eec5d995b3,0xe2f074f7e9e43e70380c38a904c907632911cd0cdafb42dc4f405e658b9fd189,8,true
2024-07-03 15:29:09.000 UTC,2024-07-03 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16615601,base,61.072512132147786,Sell,0.01843698479461065,WETH,0x4200000000000000000000000000000000000006,110000000,BCAT,0x151712b1d6fcf1d4b47ac1f37ea6127616f39027,0.005,0.6107251213214762,0.000184369847946106,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,BCAT-WETH,0xb7dc09971b46b160a3ecd515b9e4e9bbd53deb5e,0x1fa5bb9aaefe45c0ec91890561a9c0f30cd842c9,0xadbea8968a48d0e353f8bddaca11e7360d4abf0994c9388ba13d3a5d787bbab2,5,true
2024-07-03 11:54:59.000 UTC,2024-07-03 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16609176,base,16.3739603960396,Buy,3020637.178521695,RABBIT,0xa74fca6d1a2bb3109fd43a528255d3ad5dd6f792,0.00495049504950495,WETH,0x4200000000000000000000000000000000000006,0.005,0.1637396039603977,0.00004950495049505,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,RABBIT-WETH,0x8c86196c6578672987b943d8b7e17dd70b2c3ff6,0x913686a8514952dc343ef0084e68dc4ce2492b20,0x428b6564f034f37f787ff9b45368e20d881a6d3e896d56f166c3e88262a859bb,4,true
2024-07-02 21:19:11.000 UTC,2024-07-02 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16582902,base,833.6997158783012,Sell,0.2437611554692926,WETH,0x4200000000000000000000000000000000000006,4955853755.063859,HOPPY,0xeee5f3944694ef8f4e6fe97b58442f7f87cb5e3d,0.005,8.336997158783,0.002437611554692923,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,HOPPY-WETH,0x33ae5623361a7e0612b504e4a2e0d67168d86208,0x29b7211be90fe1e70d6ceeb9860c7b36b48365d9,0x1091e274f5ebc68d8ea4cca305bb9d0c146c6d5c70c08ccb9cc31bcb143c01f9,3,true
2024-07-02 17:23:49.000 UTC,2024-07-02 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16575841,base,100.86112180462679,Sell,0.029525830219473127,WETH,0x4200000000000000000000000000000000000006,0.004018988257126081,8BTC,0xeac0aa89e1adcdff943a3b2aeebaa2158da69eb8,0.005,1.0086112180462636,0.00029525830219473,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,3,8BTC-WETH,0xfc929d4eb2cb4339e655d53707fe53d31b9f4e48,0x913686a8514952dc343ef0084e68dc4ce2492b20,0x44b11577ff1ebaea9da7cdd08b2ae34adf97935781f6d1a0af63a44eba205643,6,true
2024-07-03 16:05:09.000 UTC,2024-07-03 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16616681,base,81.80668316831682,Buy,33440.02611823292,KEYCAT,0x9a26f5433671751c3276a065f57e5a02d2817973,0.024752475247524754,WETH,0x4200000000000000000000000000000000000006,0.005,0.8180668316831698,0.000247524752475248,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,KEYCAT-WETH,0x377feeed4820b3b28d1ab429509e7a0789824fca,0x5b7cc90c3635fbcf0441be7f442666c8629d09b7,0x6141a106e080ba18ed6f2a80145148e801e6c79484406b58101e9403d5296ec1,4,true
2024-07-03 15:47:09.000 UTC,2024-07-03 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16616141,base,180.24666921785396,Sell,0.05453080532153469,WETH,0x4200000000000000000000000000000000000006,274478108.8933938,BCAT,0x151712b1d6fcf1d4b47ac1f37ea6127616f39027,0.005,1.8024666921785302,0.000545308053215344,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,BCAT-WETH,0xb7dc09971b46b160a3ecd515b9e4e9bbd53deb5e,0xbcffc509a725a8cbb033a537d68410d2c9ba4287,0x4090ebae2dfffb2614c3a0cbbe471300e988c92d001028b1c03b9b96985e6d8c,4,true
2024-07-02 16:25:25.000 UTC,2024-07-02 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16574089,base,168.99603960396038,Buy,1939621.9096179411,DJTB,0x7d33b8ebae6de490729b83ed61e82878f4a4df81,0.04950495049504951,WETH,0x4200000000000000000000000000000000000006,0.005,1.6899603960396072,0.000495049504950496,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,DJTB-WETH,0x1a9497fcf42d0287dc3d80d2d969a37990a31b43,0xd0b7f8f2bd278283707a7583dd50d2a6f6434516,0x30ecc8c49790df4cce8453cdf747d4db18470f3b40263320cc28f9e52d96b6ad,11,true
2024-07-02 21:15:57.000 UTC,2024-07-02 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16582805,base,1045.2764156912597,Sell,0.30562297434067504,WETH,0x4200000000000000000000000000000000000006,11194154.586579362,PMB,0x579b26c8e10a7fe712fd6a3b78de8aa718984dc2,0.005,10.452764156912593,0.003056229743406749,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,PMB-WETH,0xc32c9b273978b61a798175dceb1d3f22af7a912a,0x5991667159ded7b6f228670d54b9e9910cefe8e7,0x03575ea80f4ae043db35acab9f7e1c40ba57e94487467dd7f2befa7045817755,17,true
2024-07-03 14:26:53.000 UTC,2024-07-03 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16613733,base,163.4824900291536,Sell,0.04921414208580542,WETH,0x4200000000000000000000000000000000000006,4559382.505196178,BMOB,0x230309343162447bed5ad0ca59161323a7e41313,0.005,1.6348249002915354,0.000492141420858054,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,2,BMOB-WETH,0x34da02d9baff757340a2911c01641077fb8614bb,0x0fef077839ef73c9e089ebbe820843c020ae269b,0xb8c723c24499418d6aff8d42811d476dc83e9cca3bbb96bebad7c0ece06064c5,30,true
2024-07-02 20:04:29.000 UTC,2024-07-02 00:00:00.000 UTC,2024-07-01 00:00:00.000 UTC,16580661,base,50.80232673267327,Buy,6901.918166548091,DEGEN,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,0.014851485148514853,WETH,0x4200000000000000000000000000000000000006,0.005,0.5080232673267343,0.000148514851485149,ETH,0x4200000000000000000000000000000000000006,,,ETH,0x4200000000000000000000000000000000000006,uniswap,3,DEGEN-WETH,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x42f5198b2ba5cfbe162b9a6b4354ae9e86f6a88a,0x72f679b3ceae179502154d06735b7fb3cb108a6be6df6109e82212e7f8dbd6ea,5,true
