evt_tx_hash,evt_block_time,borrower,lender,collectionContract,tokenId,apr,duration,source,eth,usd,status,currency,principal_raw,collectionName
0x07187977a319186a238cbe626ad1311d6d3c0373935139b1687ec07c96ce1da5,2020-05-16T16:24:38Z,0xe09b8a054dfcda9c6a5f90d85066d9b6d1bd8025,0xc35a5fec6be6957899e15559be252db882220b37,0xf3e778f839934fc819cfa1040aabacecba01e049,2612,1.7380952380952381,7,NFTFi,0.03,5.9454,DEFAULTED,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0x81bb52944abbb019073336c0e77e1d8a5707ac7916cae55a8c277a9a49c5dcee,2020-05-19T07:14:56Z,0xc35a5fec6be6957899e15559be252db882220b37,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,2335,1738.0952380952383,7,NFTFi,0.03,6.185099999999999,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0xb978a7d0f7737be2f1d77dc4285780d68805d1d7c657c61e90fb7b70c38a4aee,2020-05-19T07:14:59Z,0xc35a5fec6be6957899e15559be252db882220b37,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,2334,1738.0952380952383,7,NFTFi,0.03,6.185099999999999,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0xc91b0a3043f1efe75f7169e83778a0c60e757ff7ce17853f8323bf87eac5ff8f,2020-05-19T21:24:03Z,0xc35a5fec6be6957899e15559be252db882220b37,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,3503,2607.1428571428573,7,NFTFi,0.03,6.316800000000001,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0x6b901c39d65ed83840ba811790c5b6bbff1e45a8d75b902d14261d096bbe90e1,2020-05-19T21:24:03Z,0xc35a5fec6be6957899e15559be252db882220b37,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,2610,2607.1428571428573,7,NFTFi,0.03,6.316800000000001,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0x688d0b577daba954b8cf145ba35b6c548c76a80ece8203a447157982856f8ddb,2020-05-19T21:26:35Z,0x442dccee68425828c106a3662014b4f131e3bd9b,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,5155,2607.1428571428573,7,NFTFi,0.03,6.3249,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0x721f541dccf8f22f8fae2ad93e7169781ebdbaec64cfcbd15ddf1f38e1fb6385,2020-05-19T21:29:20Z,0xc35a5fec6be6957899e15559be252db882220b37,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,1881,1738.0952380952383,7,NFTFi,0.03,6.3249,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0xd3b43f62a0a5bad1a25b14075d96bb854dc624eeaccf6e2f88ec3c088c55ea0b,2020-05-19T21:43:37Z,0xc35a5fec6be6957899e15559be252db882220b37,0x96d80fdec427117b5bed01bd24fb3c960487e872,0xf3e778f839934fc819cfa1040aabacecba01e049,1866,1738.0952380952383,7,NFTFi,0.03,6.318,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30000000000000000,Avastars
0x1ae40bcf05de3e1aacd999a74e9744ab7b60e79fbf93006a9e4b7e3251cdca96,2020-05-23T10:55:49Z,0xc35a5fec6be6957899e15559be252db882220b37,0xedf3c015a608ee7db0d205f60a1641b026515b59,0xf3e778f839934fc819cfa1040aabacecba01e049,1867,1303.5714285714287,7,NFTFi,0.04,8.162799999999999,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,40000000000000000,Avastars
0xa8eb2d6cac08258b1eea5ffbf0ce462979e8e9c60debba3f8177fe25a6102e30,2020-05-27T21:06:48Z,0xc35a5fec6be6957899e15559be252db882220b37,0x218f21da04332c84e68f50b993b128aa16a9c635,0x0e3a2a1f2146d86a604adc220b4967a898d7fe07,145447515,260.7142857142857,7,NFTFi,0.02,3.9792,REPAID,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20000000000000000,Gods Unchained
